"Funcionario_Deixou_Empresa","Freq_Viagens","Formacao","Estado_Civil","Faz_hora_extras","Equilibrio_de_Vida","Idade","Tempo_de_empresa"
"Sim","Viaja raramente","Ensino Técnico","Solteiro","Sim","Ruim",41,6
"Não","Viaja frequentemente","Ensino Médio","Casado","Não","Muito bom",49,10
"Sim","Viaja raramente","Ensino Técnico","Solteiro","Sim","Muito bom",37,0
"Não","Viaja frequentemente","Mestrado","Casado","Sim","Muito bom",33,8
"Não","Viaja raramente","Ensino Médio","Casado","Não","Muito bom",27,2
"Não","Viaja frequentemente","Ensino Técnico","Solteiro","Não","Bom",32,7
"Não","Viaja raramente","Ensino Superior","Casado","Sim","Bom",59,1
"Não","Viaja raramente","Ensino Médio","Divorciado","Não","Muito bom",30,1
"Não","Viaja frequentemente","Ensino Superior","Solteiro","Não","Muito bom",38,9
"Não","Viaja raramente","Ensino Superior","Casado","Não","Bom",36,7
"Não","Viaja raramente","Ensino Superior","Casado","Não","Muito bom",35,5
"Não","Viaja raramente","Ensino Técnico","Solteiro","Sim","Muito bom",29,9
"Não","Viaja raramente","Ensino Médio","Divorciado","Não","Bom",31,5
"Não","Viaja raramente","Ensino Técnico","Divorciado","Não","Muito bom",34,2
"Sim","Viaja raramente","Ensino Superior","Solteiro","Sim","Muito bom",28,4
"Não","Viaja raramente","Mestrado","Divorciado","Não","Muito bom",29,10
"Não","Viaja raramente","Ensino Técnico","Divorciado","Sim","Bom",32,6
"Não","Não viaja","Ensino Técnico","Divorciado","Sim","Bom",22,1
"Não","Viaja raramente","Mestrado","Casado","Não","Muito bom",53,25
"Não","Viaja raramente","Ensino Superior","Solteiro","Sim","Muito bom",38,3
"Não","Não viaja","Ensino Técnico","Divorciado","Não","Bom",24,4
"Sim","Viaja raramente","Mestrado","Solteiro","Não","Muito bom",36,5
"Não","Viaja raramente","Mestrado","Solteiro","Não","Muito bom",34,12
"Não","Viaja raramente","Ensino Técnico","Solteiro","Não","Muito bom",21,0
"Sim","Viaja raramente","Ensino Médio","Solteiro","Não","Muito bom",34,4
"Não","Viaja raramente","Ensino Superior","Divorciado","Não","Bom",53,14
"Sim","Viaja frequentemente","Ensino Médio","Solteiro","Sim","Muito bom",32,10
"Não","Viaja raramente","Mestrado","Casado","Não","Muito bom",42,9
"Não","Viaja raramente","Mestrado","Casado","Não","Muito bom",44,22
"Não","Viaja raramente","Mestrado","Solteiro","Não","Bom",46,2
"Não","Viaja raramente","Ensino Superior","Solteiro","Não","Muito bom",33,1
"Não","Viaja raramente","Mestrado","Casado","Sim","Excelente",44,4
"Não","Viaja raramente","Ensino Técnico","Solteiro","Não","Muito bom",30,10
"Sim","Viaja raramente","Ensino Superior","Casado","Não","Excelente",39,1
"Sim","Viaja raramente","Ensino Superior","Casado","Sim","Bom",24,2
"Não","Viaja raramente","Ensino Técnico","Divorciado","Não","Bom",43,5
"Sim","Viaja raramente","Ensino Técnico","Casado","Sim","Muito bom",50,3
"Não","Viaja raramente","Ensino Superior","Casado","Não","Muito bom",35,2
"Não","Viaja raramente","Mestrado","Casado","Sim","Excelente",36,1
"Não","Viaja frequentemente","Ensino Superior","Casado","Não","Muito bom",33,5
"Não","Viaja raramente","Ensino Técnico","Divorciado","Não","Muito bom",35,1
"Não","Viaja raramente","Mestrado","Divorciado","Não","Muito bom",27,1
"Sim","Viaja raramente","Ensino Superior","Solteiro","Não","Bom",26,1
"Não","Viaja frequentemente","Ensino Superior","Solteiro","Não","Muito bom",27,9
"Não","Viaja frequentemente","Ensino Técnico","Solteiro","Não","Muito bom",30,12
"Sim","Viaja raramente","Ensino Superior","Casado","Não","Muito bom",41,22
"Não","Não viaja","Mestrado","Solteiro","Não","Muito bom",34,9
"Não","Viaja raramente","Ensino Técnico","Casado","Não","Muito bom",37,1
"Não","Viaja frequentemente","Mestrado","Solteiro","Sim","Muito bom",46,9
"Não","Viaja raramente","Ensino Médio","Casado","Não","Muito bom",35,1
"Sim","Viaja raramente","Ensino Técnico","Solteiro","Sim","Muito bom",48,1
"Sim","Viaja raramente","Mestrado","Solteiro","Sim","Bom",28,2
"Não","Viaja raramente","Doutorado","Divorciado","Sim","Bom",44,4
"Não","Não viaja","Ensino Técnico","Casado","Sim","Muito bom",35,4
"Não","Viaja raramente","Ensino Superior","Casado","Sim","Bom",26,2
"Não","Viaja frequentemente","Ensino Técnico","Solteiro","Sim","Muito bom",33,15
"Não","Viaja frequentemente","Doutorado","Casado","Não","Bom",35,9
"Não","Viaja raramente","Mestrado","Casado","Sim","Muito bom",35,2
"Não","Viaja raramente","Mestrado","Divorciado","Não","Bom",31,7
"Não","Viaja raramente","Mestrado","Divorciado","Não","Excelente",37,7
"Não","Viaja raramente","Ensino Superior","Casado","Sim","Muito bom",32,9
"Não","Viaja frequentemente","Doutorado","Solteiro","Não","Muito bom",38,10
"Não","Viaja raramente","Ensino Técnico","Divorciado","Sim","Bom",50,27
"Não","Viaja raramente","Ensino Superior","Solteiro","Não","Bom",59,21
"Não","Viaja raramente","Ensino Superior","Divorciado","Não","Muito bom",36,17
"Não","Viaja raramente","Ensino Superior","Divorciado","Sim","Muito bom",55,5
"Não","Viaja frequentemente","Ensino Superior","Solteiro","Não","Muito bom",36,6
"Não","Viaja raramente","Ensino Superior","Divorciado","Não","Muito bom",45,1
"Não","Viaja frequentemente","Ensino Superior","Casado","Não","Bom",35,3
"Sim","Viaja raramente","Ensino Superior","Casado","Sim","Bom",36,1
"Não","Viaja frequentemente","Ensino Médio","Solteiro","Não","Bom",59,4
"Não","Viaja raramente","Ensino Superior","Casado","Não","Muito bom",29,5
"Não","Viaja raramente","Mestrado","Solteiro","Não","Muito bom",31,1
"Não","Viaja raramente","Ensino Superior","Casado","Não","Muito bom",32,10
"Não","Viaja raramente","Ensino Superior","Casado","Não","Muito bom",36,1
"Não","Viaja raramente","Mestrado","Solteiro","Não","Muito bom",31,11
"Não","Viaja raramente","Mestrado","Solteiro","Não","Muito bom",35,15
"Não","Viaja raramente","Mestrado","Casado","Sim","Excelente",45,0
"Não","Viaja raramente","Mestrado","Solteiro","Não","Excelente",37,5
"Não","Viaja raramente","Ensino Técnico","Divorciado","Sim","Muito bom",46,4
"Não","Viaja raramente","Ensino Médio","Casado","Sim","Bom",30,10
"Não","Viaja raramente","Ensino Superior","Solteiro","Não","Muito bom",35,6
"Não","Viaja raramente","Ensino Técnico","Casado","Não","Muito bom",55,1
"Não","Não viaja","Ensino Superior","Divorciado","Sim","Muito bom",38,13
"Não","Viaja raramente","Ensino Técnico","Casado","Não","Muito bom",34,5
"Não","Viaja raramente","Ensino Superior","Solteiro","Não","Bom",56,6
"Não","Viaja raramente","Ensino Médio","Divorciado","Não","Muito bom",23,0
"Não","Viaja raramente","Mestrado","Casado","Não","Muito bom",51,4
"Não","Viaja raramente","Ensino Superior","Casado","Não","Muito bom",30,11
"Sim","Viaja raramente","Ensino Técnico","Solteiro","Não","Muito bom",46,9
"Não","Viaja frequentemente","Mestrado","Casado","Não","Bom",40,22
"Não","Viaja raramente","Mestrado","Solteiro","Sim","Ruim",51,10
"Não","Viaja raramente","Ensino Técnico","Divorciado","Sim","Bom",30,11
"Não","Viaja frequentemente","Ensino Superior","Casado","Sim","Bom",46,10
"Não","Viaja raramente","Mestrado","Solteiro","Não","Muito bom",32,11
"Não","Viaja raramente","Mestrado","Casado","Não","Ruim",54,4
"Não","Viaja raramente","Ensino Técnico","Casado","Não","Bom",24,3
"Não","Não viaja","Ensino Superior","Casado","Não","Excelente",28,5
"Não","Viaja raramente","Mestrado","Solteiro","Não","Bom",58,37
"Não","Não viaja","Ensino Superior","Casado","Não","Excelente",44,3
"Sim","Viaja raramente","Mestrado","Divorciado","Sim","Muito bom",37,3
"Não","Viaja raramente","Ensino Médio","Solteiro","Não","Muito bom",32,1
"Sim","Viaja frequentemente","Ensino Superior","Solteiro","Sim","Muito bom",20,1
"Não","Viaja raramente","Mestrado","Solteiro","Não","Muito bom",34,16
"Não","Não viaja","Ensino Técnico","Divorciado","Não","Excelente",37,1
"Não","Não viaja","Mestrado","Casado","Não","Muito bom",59,3
"Não","Viaja frequentemente","Ensino Superior","Casado","Sim","Bom",50,8
"Sim","Viaja raramente","Ensino Superior","Solteiro","Sim","Muito bom",25,6
"Não","Viaja raramente","Ensino Médio","Casado","Não","Muito bom",25,2
"Não","Viaja raramente","Ensino Superior","Solteiro","Não","Muito bom",22,0
"Não","Viaja frequentemente","Mestrado","Solteiro","Não","Bom",51,13
"Sim","Viaja frequentemente","Ensino Superior","Solteiro","Sim","Muito bom",34,9
"Não","Não viaja","Ensino Superior","Solteiro","Sim","Muito bom",54,5
"Não","Viaja raramente","Ensino Médio","Casado","Não","Muito bom",24,5
"Não","Viaja raramente","Mestrado","Divorciado","Não","Muito bom",34,1
"Não","Viaja raramente","Ensino Superior","Solteiro","Não","Muito bom",37,5
"Não","Viaja raramente","Ensino Superior","Solteiro","Não","Muito bom",34,11
"Não","Viaja frequentemente","Ensino Técnico","Casado","Não","Muito bom",36,9
"Não","Viaja raramente","Ensino Técnico","Divorciado","Não","Muito bom",36,1
"Não","Viaja frequentemente","Ensino Técnico","Casado","Sim","Excelente",43,25
"Não","Viaja frequentemente","Ensino Superior","Divorciado","Não","Bom",30,10
"Não","Não viaja","Ensino Técnico","Casado","Não","Excelente",33,7
"Sim","Viaja raramente","Mestrado","Casado","Sim","Muito bom",56,5
"Não","Viaja raramente","Ensino Superior","Solteiro","Não","Muito bom",51,20
"Sim","Viaja raramente","Mestrado","Casado","Sim","Bom",31,7
"Não","Viaja raramente","Ensino Superior","Casado","Não","Bom",26,5
"Sim","Viaja raramente","Mestrado","Casado","Não","Bom",58,40
"Sim","Viaja raramente","Ensino Médio","Solteiro","Sim","Bom",19,0
"Não","Viaja raramente","Ensino Médio","Casado","Não","Muito bom",22,2
"Não","Viaja raramente","Mestrado","Casado","Não","Bom",49,15
"Não","Viaja frequentemente","Ensino Superior","Solteiro","Não","Muito bom",43,3
"Não","Viaja frequentemente","Ensino Superior","Solteiro","Não","Muito bom",50,2
"Sim","Viaja raramente","Ensino Superior","Casado","Sim","Muito bom",31,2
"Não","Viaja raramente","Ensino Médio","Divorciado","Sim","Muito bom",41,9
"Não","Viaja raramente","Ensino Médio","Casado","Não","Muito bom",26,8
"Não","Viaja raramente","Ensino Técnico","Divorciado","Não","Muito bom",36,3
"Sim","Viaja frequentemente","Mestrado","Solteiro","Não","Muito bom",51,4
"Não","Viaja raramente","Mestrado","Casado","Não","Excelente",39,15
"Não","Viaja raramente","Ensino Superior","Casado","Não","Muito bom",25,2
"Não","Viaja raramente","Ensino Superior","Casado","Sim","Ruim",30,11
"Sim","Viaja raramente","Ensino Superior","Solteiro","Não","Excelente",32,5
"Não","Viaja raramente","Ensino Superior","Solteiro","Não","Bom",45,6
"Não","Viaja raramente","Doutorado","Solteiro","Sim","Muito bom",38,3
"Não","Viaja raramente","Ensino Superior","Solteiro","Não","Bom",30,5
"Não","Viaja frequentemente","Ensino Técnico","Divorciado","Não","Excelente",32,8
"Não","Viaja raramente","Ensino Superior","Divorciado","Não","Muito bom",30,3
"Não","Viaja raramente","Ensino Médio","Solteiro","Não","Muito bom",30,5
"Não","Viaja frequentemente","Ensino Superior","Divorciado","Não","Bom",41,7
"Não","Viaja raramente","Mestrado","Casado","Não","Muito bom",41,5
"Não","Viaja raramente","Ensino Médio","Solteiro","Não","Muito bom",19,1
"Não","Viaja frequentemente","Ensino Superior","Divorciado","Não","Muito bom",40,20
"Não","Viaja raramente","Doutorado","Casado","Não","Muito bom",35,10
"Não","Viaja raramente","Ensino Técnico","Casado","Sim","Ruim",53,7
"Não","Viaja raramente","Ensino Superior","Divorciado","Não","Ruim",45,17
"Não","Viaja frequentemente","Ensino Superior","Solteiro","Não","Muito bom",32,9
"Não","Não viaja","Ensino Médio","Casado","Não","Muito bom",29,10
"Não","Viaja raramente","Mestrado","Casado","Não","Muito bom",51,1
"Não","Viaja raramente","Ensino Superior","Casado","Sim","Bom",58,1
"Não","Viaja raramente","Mestrado","Casado","Não","Bom",40,12
"Não","Viaja frequentemente","Mestrado","Casado","Não","Muito bom",34,4
"Não","Viaja raramente","Ensino Médio","Casado","Não","Muito bom",22,2
"Não","Não viaja","Ensino Superior","Divorciado","Não","Ruim",27,2
"Não","Viaja raramente","Ensino Superior","Casado","Não","Ruim",28,5
"Não","Viaja raramente","Ensino Técnico","Divorciado","Sim","Ruim",57,5
"Não","Não viaja","Ensino Superior","Divorciado","Sim","Bom",27,1
"Não","Viaja raramente","Ensino Superior","Solteiro","Não","Muito bom",50,5
"Não","Viaja raramente","Ensino Superior","Divorciado","Não","Muito bom",41,9
"Não","Viaja raramente","Ensino Superior","Casado","Não","Muito bom",30,10
"Não","Viaja raramente","Mestrado","Solteiro","Não","Excelente",38,8
"Não","Viaja raramente","Doutorado","Solteiro","Não","Muito bom",32,5
"Não","Viaja raramente","Ensino Superior","Casado","Sim","Bom",27,5
"Sim","Viaja frequentemente","Ensino Médio","Solteiro","Não","Excelente",19,0
"Não","Viaja frequentemente","Ensino Técnico","Solteiro","Não","Bom",36,8
"Não","Não viaja","Ensino Superior","Divorciado","Não","Muito bom",30,12
"Não","Viaja raramente","Ensino Técnico","Divorciado","Sim","Excelente",45,5
"Não","Viaja raramente","Ensino Superior","Divorciado","Sim","Muito bom",56,2
"Não","Viaja raramente","Ensino Superior","Solteiro","Não","Excelente",33,3
"Sim","Viaja raramente","Ensino Superior","Solteiro","Não","Bom",19,1
"Não","Viaja raramente","Ensino Técnico","Divorciado","Não","Muito bom",46,24
"Não","Viaja raramente","Ensino Técnico","Solteiro","Não","Muito bom",38,2
"Não","Viaja raramente","Ensino Médio","Casado","Sim","Muito bom",31,4
"Não","Viaja raramente","Ensino Técnico","Solteiro","Não","Muito bom",34,3
"Sim","Viaja raramente","Ensino Técnico","Solteiro","Sim","Bom",41,4
"Não","Viaja raramente","Ensino Superior","Casado","Não","Bom",50,3
"Não","Viaja raramente","Ensino Técnico","Divorciado","Não","Muito bom",53,4
"Não","Viaja raramente","Ensino Superior","Casado","Não","Muito bom",33,8
"Não","Viaja raramente","Ensino Médio","Casado","Não","Muito bom",40,20
"Não","Viaja raramente","Mestrado","Solteiro","Não","Muito bom",55,24
"Não","Viaja frequentemente","Ensino Médio","Casado","Não","Bom",34,10
"Não","Viaja raramente","Ensino Superior","Solteiro","Não","Muito bom",51,7
"Não","Viaja raramente","Mestrado","Casado","Não","Muito bom",52,33
"Não","Viaja raramente","Ensino Superior","Solteiro","Não","Bom",27,7
"Sim","Viaja raramente","Ensino Técnico","Casado","Sim","Muito bom",35,1
"Não","Não viaja","Ensino Superior","Divorciado","Não","Excelente",43,5
"Não","Não viaja","Ensino Técnico","Casado","Não","Muito bom",45,20
"Não","Viaja raramente","Ensino Superior","Casado","Sim","Bom",37,8
"Não","Viaja frequentemente","Ensino Superior","Solteiro","Não","Muito bom",35,6
"Não","Não viaja","Ensino Técnico","Divorciado","Não","Muito bom",42,5
"Não","Viaja raramente","Mestrado","Casado","Não","Muito bom",38,1
"Não","Viaja raramente","Ensino Superior","Casado","Não","Ruim",38,7
"Não","Viaja frequentemente","Ensino Médio","Casado","Não","Muito bom",27,2
"Não","Não viaja","Mestrado","Divorciado","Sim","Muito bom",49,7
"Não","Viaja frequentemente","Mestrado","Divorciado","Sim","Excelente",34,5
"Não","Viaja raramente","Ensino Técnico","Casado","Sim","Excelente",40,7
"Sim","Viaja raramente","Ensino Médio","Casado","Sim","Muito bom",38,1
"Sim","Viaja raramente","Ensino Superior","Casado","Não","Bom",29,10
"Não","Viaja raramente","Ensino Superior","Divorciado","Sim","Bom",22,4
"Não","Viaja frequentemente","Ensino Médio","Solteiro","Não","Muito bom",36,8
"Não","Não viaja","Doutorado","Casado","Não","Ruim",40,3
"Não","Viaja raramente","Mestrado","Divorciado","Não","Muito bom",46,4
"Sim","Viaja raramente","Mestrado","Casado","Não","Bom",32,14
"Não","Não viaja","Ensino Médio","Solteiro","Não","Muito bom",30,11
"Não","Viaja frequentemente","Ensino Superior","Solteiro","Não","Muito bom",27,7
"Não","Viaja raramente","Mestrado","Casado","Não","Ruim",51,10
"Sim","Viaja raramente","Ensino Superior","Solteiro","Sim","Muito bom",30,5
"Não","Viaja raramente","Ensino Superior","Solteiro","Sim","Muito bom",41,1
"Sim","Viaja frequentemente","Mestrado","Solteiro","Não","Bom",30,6
"Sim","Viaja raramente","Ensino Superior","Solteiro","Não","Bom",29,6
"Não","Não viaja","Ensino Superior","Solteiro","Não","Muito bom",45,19
"Não","Viaja raramente","Ensino Superior","Casado","Não","Muito bom",54,6
"Não","Viaja raramente","Ensino Técnico","Solteiro","Não","Excelente",36,13
"Não","Viaja raramente","Mestrado","Casado","Não","Muito bom",33,3
"Não","Viaja frequentemente","Ensino Superior","Divorciado","Sim","Muito bom",37,10
"Não","Viaja raramente","Ensino Superior","Divorciado","Não","Bom",38,16
"Não","Não viaja","Mestrado","Casado","Não","Muito bom",31,5
"Não","Viaja raramente","Ensino Superior","Casado","Não","Muito bom",59,1
"Não","Viaja frequentemente","Mestrado","Divorciado","Não","Muito bom",37,9
"Não","Viaja frequentemente","Ensino Médio","Casado","Não","Muito bom",29,11
"Não","Viaja frequentemente","Ensino Superior","Solteiro","Não","Excelente",35,10
"Sim","Viaja raramente","Ensino Médio","Solteiro","Sim","Bom",29,4
"Não","Viaja raramente","Ensino Superior","Solteiro","Não","Bom",52,2
