id;Salario;Anos_Educ_Superior
1;5517.4;3
2;6399.9;4
3;6206.7;6
4;6060.6;4
5;6122.7;2
6;6955.0;5
7;7643.0;4
8;6210.2;2
9;5761.0;9
10;8086.9;6
11;6375.4;4
12;9568.8;6
13;9316.0;6
14;6822.4;9
15;6570.9;4
16;11974.4;12
17;4651.2;2
18;8318.8;6
19;4331.1;0
20;5072.4;4
21;6389.6;4
22;9047.2;6
23;6385.2;2
24;12118.1;10
25;9607.3;8
26;4645.9;0
27;5736.9;7
28;6401.2;8
29;4139.5;0
30;6102.1;4
31;7219.6;6
32;5990.4;6
33;6882.9;6
34;5228.3;3
35;7330.6;7
36;9857.1;8
37;6788.4;5
38;4629.1;2
39;6969.9;5
40;8082.2;4
41;6206.9;4
42;5499.4;5
43;8521.6;8
44;5170.9;1
45;6235.4;4
46;11460.2;12
